               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1125,             0.01576,            0.030088,           0.0033316,             0.82353,            0.016986,           0.0032635,             0.06635,            0.010418,            0.019708,              0.0874,              0.0014,              0.0014
                   1,            0.083936,            0.023115,            0.028536,           0.0035395,                   1,            0.071822,              0.0172,            0.036613,            0.012563,            0.018875,            0.073843,           0.0028426,           0.0028426
                   2,            0.067719,            0.023933,            0.027483,              0.2126,             0.66742,             0.31416,              0.1211,            0.031699,            0.011072,            0.017171,            0.060226,           0.0042258,           0.0042258
                   3,            0.059115,             0.02176,            0.025559,             0.22732,             0.72851,             0.26283,            0.074899,            0.042744,           0.0096156,            0.017697,             0.04655,           0.0055495,           0.0055495
                   4,            0.058471,            0.020025,            0.024652,             0.16866,             0.57014,             0.21649,            0.063725,            0.039985,           0.0081626,            0.018753,            0.032814,           0.0068139,           0.0068139
                   5,            0.055293,            0.017287,            0.024971,             0.46952,             0.72624,             0.63876,             0.34249,            0.040989,           0.0064496,            0.015249,            0.019019,           0.0080189,           0.0080189
                   6,            0.054332,            0.017161,            0.023411,             0.47366,             0.94118,             0.78816,             0.43588,            0.036914,           0.0056657,            0.016073,            0.008812,            0.008812,            0.008812
                   7,              0.0507,            0.016816,            0.024276,              0.3444,             0.91176,             0.71086,             0.34449,            0.029029,           0.0056606,            0.017479,            0.008812,            0.008812,            0.008812
                   8,            0.047743,             0.01685,            0.023156,             0.54168,             0.85294,             0.84856,             0.23687,            0.040083,           0.0049093,             0.01728,            0.008614,            0.008614,            0.008614
                   9,            0.045702,            0.015229,            0.021398,              0.7533,             0.85698,             0.93346,             0.61094,            0.024836,           0.0044992,              0.0132,            0.008416,            0.008416,            0.008416
                  10,            0.043901,            0.014937,            0.020284,             0.72039,              0.8722,             0.92061,             0.49792,            0.024991,           0.0042093,            0.010262,            0.008218,            0.008218,            0.008218
                  11,             0.04122,            0.013399,            0.015923,             0.91145,             0.90215,             0.94541,             0.60722,            0.031789,           0.0041213,            0.007162,             0.00802,             0.00802,             0.00802
